ID,X,Y
1,99640.282,444792.7229
2,99640.2409889447,444792.814654271
3,99640.1999778895,444792.906408543
4,99640.1589668342,444792.998162814
5,99640.1179557789,444793.089917085
6,99640.0769447236,444793.181671357
7,99640.0359336683,444793.273425628
8,99639.9949226131,444793.365179899
9,99639.9539115578,444793.456934171
10,99639.9129005025,444793.548688442
11,99639.8718894472,444793.640442714
12,99639.830878392,444793.732196985
13,99639.7898673367,444793.823951256
14,99639.7488562814,444793.915705528
15,99639.7078452261,444794.007459799
16,99639.6668341709,444794.09921407
17,99639.6258231156,444794.190968342
18,99639.5848120603,444794.282722613
19,99639.543801005,444794.374476884
20,99639.5027899498,444794.466231156
21,99639.4617788945,444794.557985427
22,99639.4207678392,444794.649739699
23,99639.3797567839,444794.74149397
24,99639.3387457286,444794.833248241
25,99639.2977346734,444794.925002513
26,99639.2567236181,444795.016756784
27,99639.2157125628,444795.108511055
28,99639.1747015075,444795.200265327
29,99639.1336904523,444795.292019598
30,99639.092679397,444795.383773869
31,99639.0516683417,444795.475528141
32,99639.0106572864,444795.567282412
33,99638.9696462312,444795.659036683
34,99638.9286351759,444795.750790955
35,99638.8876241206,444795.842545226
36,99638.8466130653,444795.934299497
37,99638.8056020101,444796.026053769
38,99638.7645909548,444796.11780804
39,99638.7235798995,444796.209562312
40,99638.6825688442,444796.301316583
41,99638.641557789,444796.393070854
42,99638.6005467337,444796.484825126
43,99638.5595356784,444796.576579397
44,99638.5185246231,444796.668333668
45,99638.4775135679,444796.76008794
46,99638.4365025126,444796.851842211
47,99638.3954914573,444796.943596482
48,99638.354480402,444797.035350754
49,99638.3134693467,444797.127105025
50,99638.2724582915,444797.218859296
51,99638.2314472362,444797.310613568
52,99638.1904361809,444797.402367839
53,99638.1494251256,444797.494122111
54,99638.1084140704,444797.585876382
55,99638.0674030151,444797.677630653
56,99638.0263919598,444797.769384925
57,99637.9853809045,444797.861139196
58,99637.9443698493,444797.952893467
59,99637.903358794,444798.044647739
60,99637.8623477387,444798.13640201
61,99637.8213366834,444798.228156281
62,99637.7803256281,444798.319910553
63,99637.7393145729,444798.411664824
64,99637.6983035176,444798.503419095
65,99637.6572924623,444798.595173367
66,99637.616281407,444798.686927638
67,99637.5752703518,444798.77868191
68,99637.5342592965,444798.870436181
69,99637.4932482412,444798.962190452
70,99637.4522371859,444799.053944724
71,99637.4112261307,444799.145698995
72,99637.3702150754,444799.237453266
73,99637.3292040201,444799.329207538
74,99637.2881929648,444799.420961809
75,99637.2471819096,444799.51271608
76,99637.2061708543,444799.604470352
77,99637.165159799,444799.696224623
78,99637.1241487437,444799.787978894
79,99637.0831376884,444799.879733166
80,99637.0421266332,444799.971487437
81,99637.0011155779,444800.063241709
82,99636.9601045226,444800.15499598
83,99636.9190934673,444800.246750251
84,99636.8780824121,444800.338504523
85,99636.8370713568,444800.430258794
86,99636.7960603015,444800.522013065
87,99636.7550492462,444800.613767337
88,99636.714038191,444800.705521608
89,99636.6730271357,444800.797275879
90,99636.6320160804,444800.889030151
91,99636.5910050251,444800.980784422
92,99636.5499939698,444801.072538693
93,99636.5089829146,444801.164292965
94,99636.4679718593,444801.256047236
95,99636.426960804,444801.347801508
96,99636.3859497487,444801.439555779
97,99636.3449386935,444801.53131005
98,99636.3039276382,444801.623064322
99,99636.2629165829,444801.714818593
100,99636.2219055276,444801.806572864
101,99636.1808944724,444801.898327136
102,99636.1398834171,444801.990081407
103,99636.0988723618,444802.081835678
104,99636.0578613065,444802.17358995
105,99636.0168502513,444802.265344221
106,99635.975839196,444802.357098492
107,99635.9348281407,444802.448852764
108,99635.8938170854,444802.540607035
109,99635.8528060302,444802.632361307
110,99635.8117949749,444802.724115578
111,99635.7707839196,444802.815869849
112,99635.7297728643,444802.907624121
113,99635.6887618091,444802.999378392
114,99635.6477507538,444803.091132663
115,99635.6067396985,444803.182886935
116,99635.5657286432,444803.274641206
117,99635.5247175879,444803.366395477
118,99635.4837065327,444803.458149749
119,99635.4426954774,444803.54990402
120,99635.4016844221,444803.641658291
121,99635.3606733668,444803.733412563
122,99635.3196623116,444803.825166834
123,99635.2786512563,444803.916921106
124,99635.237640201,444804.008675377
125,99635.1966291457,444804.100429648
126,99635.1556180905,444804.19218392
127,99635.1146070352,444804.283938191
128,99635.0735959799,444804.375692462
129,99635.0325849246,444804.467446734
130,99634.9915738694,444804.559201005
131,99634.9505628141,444804.650955276
132,99634.9095517588,444804.742709548
133,99634.8685407035,444804.834463819
134,99634.8275296482,444804.92621809
135,99634.786518593,444805.017972362
136,99634.7455075377,444805.109726633
137,99634.7044964824,444805.201480905
138,99634.6634854271,444805.293235176
139,99634.6224743719,444805.384989447
140,99634.5814633166,444805.476743719
141,99634.5404522613,444805.56849799
142,99634.499441206,444805.660252261
143,99634.4584301508,444805.752006533
144,99634.4174190955,444805.843760804
145,99634.3764080402,444805.935515075
146,99634.3353969849,444806.027269347
147,99634.2943859297,444806.119023618
148,99634.2533748744,444806.210777889
149,99634.2123638191,444806.302532161
150,99634.1713527638,444806.394286432
151,99634.1303417085,444806.486040704
152,99634.0893306533,444806.577794975
153,99634.048319598,444806.669549246
154,99634.0073085427,444806.761303518
155,99633.9662974874,444806.853057789
156,99633.9252864322,444806.94481206
157,99633.8842753769,444807.036566332
158,99633.8432643216,444807.128320603
159,99633.8022532663,444807.220074874
160,99633.7612422111,444807.311829146
161,99633.7202311558,444807.403583417
162,99633.6792201005,444807.495337688
163,99633.6382090452,444807.58709196
164,99633.5971979899,444807.678846231
165,99633.5561869347,444807.770600503
166,99633.5151758794,444807.862354774
167,99633.4741648241,444807.954109045
168,99633.4331537689,444808.045863317
169,99633.3921427136,444808.137617588
170,99633.3511316583,444808.229371859
171,99633.310120603,444808.321126131
172,99633.2691095477,444808.412880402
173,99633.2280984925,444808.504634673
174,99633.1870874372,444808.596388945
175,99633.1460763819,444808.688143216
176,99633.1050653266,444808.779897487
177,99633.0640542714,444808.871651759
178,99633.0230432161,444808.96340603
179,99632.9820321608,444809.055160302
180,99632.9410211055,444809.146914573
181,99632.9000100503,444809.238668844
182,99632.858998995,444809.330423116
183,99632.8179879397,444809.422177387
184,99632.7769768844,444809.513931658
185,99632.7359658292,444809.60568593
186,99632.6949547739,444809.697440201
187,99632.6539437186,444809.789194472
188,99632.6129326633,444809.880948744
189,99632.571921608,444809.972703015
190,99632.5309105528,444810.064457286
191,99632.4898994975,444810.156211558
192,99632.4488884422,444810.247965829
193,99632.4078773869,444810.339720101
194,99632.3668663317,444810.431474372
195,99632.3258552764,444810.523228643
196,99632.2848442211,444810.614982915
197,99632.2438331658,444810.706737186
198,99632.2028221106,444810.798491457
199,99632.1618110553,444810.890245729
200,99632.1208,444810.982










































































































































































































































































































































































































































































































































































































































































































